country,penetration,year
MEX,48.91,2010
MEX,51.32,2011
MEX,53.64,2012
MEX,55.35,2013
MEX,57.14,2014
MEX,58.809999999999995,2015
MEX,59.38,2016
MEX,60.6,2017
MEX,62.050000000000004,2018
MEX,63.44,2019
MEX,64.59,2020
MEX,65.56,2021
MEX,66.54,2022
MEX,67.54,2023
MEX,68.55,2024
MEX,69.58,2025
MEX,70.63,2026
MEX,71.68,2027
MEX,72.76,2028
MEX,73.85,2029
MEX,74.96,2030
