country,penetration,year
PAK,30.330000000000002,2010
PAK,31.869999999999997,2011
PAK,33.33,2012
PAK,34.0,2013
PAK,35.03,2014
PAK,36.2,2015
PAK,37.24,2016
PAK,38.42,2017
PAK,39.68,2018
PAK,40.910000000000004,2019
PAK,42.21,2020
PAK,42.84,2021
PAK,43.49,2022
PAK,44.14,2023
PAK,44.8,2024
PAK,45.47,2025
PAK,46.15,2026
PAK,46.85,2027
PAK,47.55,2028
PAK,48.26,2029
PAK,48.99,2030
