country,penetration,year
KEN,37.78,2010
KEN,40.47,2011
KEN,42.4,2012
KEN,43.62,2013
KEN,45.04,2014
KEN,46.71,2015
KEN,47.75,2016
KEN,49.120000000000005,2017
KEN,50.63999999999999,2018
KEN,51.76,2019
KEN,52.81,2020
KEN,53.6,2021
KEN,54.41,2022
KEN,55.22,2023
KEN,56.05,2024
KEN,56.89,2025
KEN,57.74,2026
KEN,58.61,2027
KEN,59.49,2028
KEN,60.38,2029
KEN,61.29,2030
