"","iso3","country","year","Price.Paid..USDm.","length","Band.Paired","bandwidth","price","dollar_per_mhz","dollar_per_mhz_per_single_year","Cluster","population","dollar_per_mhz_per_pop_per_single_year","metric"
"479","LKA","Sri Lanka",2006,"5",10,2100,20,5e+06,250000,25000,"C3",21670000,0.00115366866635902,"Capacity Spectrum"
"480","LKA","Sri Lanka",2006,"5",10,2100,30,5e+06,166666.666666667,16666.6666666667,"C3",21670000,0.000769112444239348,"Capacity Spectrum"
"481","LKA","Sri Lanka",2006,"5",10,2100,20,5e+06,250000,25000,"C3",21670000,0.00115366866635902,"Capacity Spectrum"
"482","LKA","Sri Lanka",2007,"4",10,2100,20,4e+06,2e+05,20000,"C3",21670000,0.000922934933087217,"Capacity Spectrum"
"483","LKA","Sri Lanka",2013,"22.7",10,1800,20,22700000,1135000,113500,"C3",21670000,0.00523765574526996,"Capacity Spectrum"
"495","MAR","Morocco",2015,"33.31",20,1800,20,33310000,1665500,83275,"C4",36029138,0.00231132368473539,"Capacity Spectrum"
"496","MAR","Morocco",2006,"41.2",25,2100,30,41200000,1373333.33333333,54933.3333333333,"C4",36029138,0.00152469185727767,"Capacity Spectrum"
"497","MAR","Morocco",2006,"41.2",25,2100,30,41200000,1373333.33333333,54933.3333333333,"C4",36029138,0.00152469185727767,"Capacity Spectrum"
"498","MAR","Morocco",2015,"33.31",20,800,10,33310000,3331000,166550,"C4",36029138,0.00462264736947079,"Coverage Spectrum"
"499","MAR","Morocco",2015,"17.44",20,800,10,17440000,1744000,87200,"C4",36029138,0.00242026328800872,"Coverage Spectrum"
"500","MAR","Morocco",2015,"33.31",20,2600,40,33310000,832750,41637.5,"C4",36029138,0.0011556618423677,"Capacity Spectrum"
"501","MAR","Morocco",2015,"17.44",20,1800,20,17440000,872000,43600,"C4",36029138,0.00121013164400436,"Capacity Spectrum"
"502","MAR","Morocco",2006,"41.2",25,2100,30,41200000,1373333.33333333,54933.3333333333,"C4",36029138,0.00152469185727767,"Capacity Spectrum"
"503","MAR","Morocco",2015,"17.44",20,2600,40,17440000,436000,21800,"C4",36029138,0.000605065822002181,"Capacity Spectrum"
"504","MDA","Moldova (the Republic of)",2012,"12.3",15,2600,40,12300000,307500,20500,"C4",2706049,0.00757562039711772,"Capacity Spectrum"
"505","MDA","Moldova (the Republic of)",2012,"12.3",15,2600,40,12300000,307500,20500,"C4",2706049,0.00757562039711772,"Capacity Spectrum"
"506","MDA","Moldova (the Republic of)",2014,"5.18",15,900,10,5180000,518000,34533.3333333333,"C4",2706049,0.0127615328966081,"Coverage Spectrum"
"507","MDA","Moldova (the Republic of)",2015,"6.5",14,900,10,6500000,650000,46428.5714285714,"C4",2706049,0.0171573284255279,"Coverage Spectrum"
"508","MDA","Moldova (the Republic of)",2015,"6.5",14,800,20,6500000,325000,23214.2857142857,"C4",2706049,0.00857866421276396,"Coverage Spectrum"
"509","MDA","Moldova (the Republic of)",2014,"9.72",15,1800,50,9720000,194400,12960,"C4",2706049,0.00478927026081198,"Capacity Spectrum"
"510","MEX","Mexico",2010,"3.76",20,1900,10,3760000,376000,18800,"C6",126190788,0.000148980763952437,"Capacity Spectrum"
"511","MEX","Mexico",2017,"4.7",20,1900,30,4700000,156666.666666667,7833.33333333333,"C6",126190788,6.20753183135153e-05,"Capacity Spectrum"
"512","MEX","Mexico",2018,"34.2",20,2500,40,34200000,855000,42750,"C6",126190788,0.000338772747817376,"Capacity Spectrum"
"513","MEX","Mexico",2016,"687.1",15,1700,50,687100000,13742000,916133.333333333,"C6",126190788,0.00725990658948364,"Capacity Spectrum"
"514","MEX","Mexico",2010,"2.99",20,1900,10,2990000,299000,14950,"C6",126190788,0.000118471405377071,"Capacity Spectrum"
"515","MEX","Mexico",2010,"14",20,1700,30,1.4e+07,466666.666666667,23333.3333333333,"C6",126190788,0.000184905203487067,"Capacity Spectrum"
"516","MMR","Myanmar",2017,"80",12,1800,20,8e+07,4e+06,333333.333333333,"C1",53708395,0.00620635439456594,"Capacity Spectrum"
"517","MMR","Myanmar",2017,"80",12,1800,20,8e+07,4e+06,333333.333333333,"C1",53708395,0.00620635439456594,"Capacity Spectrum"
"518","MMR","Myanmar",2017,"80",12,1800,20,8e+07,4e+06,333333.333333333,"C1",53708395,0.00620635439456594,"Capacity Spectrum"
"519","MMR","Myanmar",2017,"80",12,1800,20,8e+07,4e+06,333333.333333333,"C1",53708395,0.00620635439456594,"Capacity Spectrum"
"520","MMR","Myanmar",2017,"80",12,1800,20,8e+07,4e+06,333333.333333333,"C1",53708395,0.00620635439456594,"Capacity Spectrum"
"521","MMR","Myanmar",2015,"75",14,2100,10,7.5e+07,7500000,535714.285714286,"C1",53708395,0.00997449813412383,"Capacity Spectrum"
"522","MNE","Montenegro",2007,"2.9",15,2100,30,2900000,96666.6666666667,6444.44444444444,"C6",622227,0.0103570633296923,"Capacity Spectrum"
"523","MNE","Montenegro",2007,"5.8",15,2100,30,5800000,193333.333333333,12888.8888888889,"C6",622227,0.0207141266593846,"Capacity Spectrum"
"524","MYS","Malaysia",2018,"30",16,2100,30,3e+07,1e+06,62500,"C6",31528585,0.00198232810004001,"Capacity Spectrum"
"525","MYS","Malaysia",2018,"30",16,2100,30,3e+07,1e+06,62500,"C6",31528585,0.00198232810004001,"Capacity Spectrum"
"526","MYS","Malaysia",2017,"246",15,900,20,2.46e+08,12300000,820000,"C6",31528585,0.0260081446725249,"Coverage Spectrum"
"527","MYS","Malaysia",2012,"3.2",5,2600,20,3200000,160000,32000,"C6",31528585,0.00101495198722049,"Capacity Spectrum"
"528","MYS","Malaysia",2012,"3.2",5,2600,20,3200000,160000,32000,"C6",31528585,0.00101495198722049,"Capacity Spectrum"
