"","iso3","country","year","Price.Paid..USDm.","length","Band.Paired","bandwidth","price","dollar_per_mhz","dollar_per_mhz_per_single_year","Cluster","population","dollar_per_mhz_per_pop_per_single_year","metric"
"675","THA","Thailand",2015,"2101",15,900,20,2.101e+09,105050000,7003333.33333333,"C4",69428524,0.100871125149273,"Coverage Spectrum"
"676","THA","Thailand",2015,"1141",18,1800,30,1.141e+09,38033333.3333333,2112962.96296296,"C4",69428524,0.030433643713396,"Capacity Spectrum"
"677","TUN","Tunisia",2009,"102.8",15,2100,40,102800000,2570000,171333.333333333,"C4",11565204,0.0148145534945457,"Capacity Spectrum"
"678","TUN","Tunisia",2010,"80",15,2100,30,8e+07,2666666.66666667,177777.777777778,"C4",11565204,0.0153717805390876,"Capacity Spectrum"
"679","TUN","Tunisia",2009,"102.8",15,900,20,102800000,5140000,342666.666666667,"C4",11565204,0.0296291069890913,"Coverage Spectrum"
"680","TUN","Tunisia",2012,"131.52",15,2100,30,131520000,4384000,292266.666666667,"C4",11565204,0.02527120720626,"Capacity Spectrum"
"681","TUR","Turkey",2008,"516",20,2100,40,5.16e+08,12900000,645000,"C6",82319724,0.00783530323789715,"Capacity Spectrum"
"682","TUR","Turkey",2008,"308",20,2100,30,3.08e+08,10266666.6666667,513333.333333333,"C6",82319724,0.00623584857176311,"Capacity Spectrum"
"683","TUR","Turkey",2015,"429",14,2600,50,4.29e+08,8580000,612857.142857143,"C6",82319724,0.00744483962139065,"Capacity Spectrum"
"684","TUR","Turkey",2015,"436",14,800,20,4.36e+08,21800000,1557142.85714286,"C6",82319724,0.0189157929774261,"Coverage Spectrum"
"685","TUR","Turkey",2015,"210",14,2100,10,2.1e+08,2.1e+07,1500000,"C6",82319724,0.0182216354369701,"Capacity Spectrum"
"686","TUR","Turkey",2015,"268",14,2600,30,2.68e+08,8933333.33333333,638095.238095238,"C6",82319724,0.00775142586842539,"Capacity Spectrum"
"687","TUR","Turkey",2015,"106",14,1800,20,1.06e+08,5300000,378571.428571429,"C6",82319724,0.00459879370552103,"Capacity Spectrum"
"688","TUR","Turkey",2015,"417",14,800,20,4.17e+08,20850000,1489285.71428571,"C6",82319724,0.0180914808981346,"Coverage Spectrum"
"689","TUR","Turkey",2015,"425",14,800,20,4.25e+08,21250000,1517857.14285714,"C6",82319724,0.0184385596683626,"Coverage Spectrum"
"690","TUR","Turkey",2015,"347",14,1800,40,3.47e+08,8675000,619642.857142857,"C6",82319724,0.0075272708293198,"Capacity Spectrum"
"691","TUR","Turkey",2015,"29",14,2600,40,2.9e+07,725000,51785.7142857143,"C6",82319724,0.000629080271038254,"Capacity Spectrum"
"692","TUR","Turkey",2015,"179",14,2100,10,1.79e+08,17900000,1278571.42857143,"C6",82319724,0.0155317749677031,"Capacity Spectrum"
"693","TZA","Tanzania",2019,"12",15,800,20,1.2e+07,6e+05,40000,"C1",56318348,0.000710248105999132,"Coverage Spectrum"
"694","TZA","Tanzania",2018,"10",15,700,20,1e+07,5e+05,33333.3333333333,"C1",56318348,0.000591873421665943,"Coverage Spectrum"
"695","TZA","Tanzania",2018,"10",15,700,20,1e+07,5e+05,33333.3333333333,"C1",56318348,0.000591873421665943,"Coverage Spectrum"
"696","UKR","Ukraine",2018,"32.5",15,2600,30,32500000,1083333.33333333,72222.2222222222,"C2",44622516,0.00161851524065165,"Capacity Spectrum"
"697","UKR","Ukraine",2018,"22.4",15,2600,20,22400000,1120000,74666.6666666667,"C2",44622516,0.00167329575648909,"Capacity Spectrum"
"698","UKR","Ukraine",2018,"30",15,1800,30,3e+07,1e+06,66666.6666666667,"C2",44622516,0.00149401406829383,"Capacity Spectrum"
"699","UKR","Ukraine",2015,"93",15,2100,30,9.3e+07,3100000,206666.666666667,"C2",44622516,0.00463144361171088,"Capacity Spectrum"
"700","UKR","Ukraine",2015,"94",15,2100,30,9.4e+07,3133333.33333333,208888.888888889,"C2",44622516,0.00468124408065401,"Capacity Spectrum"
"701","UKR","Ukraine",2015,"116",15,2100,30,1.16e+08,3866666.66666667,257777.777777778,"C2",44622516,0.00577685439740282,"Capacity Spectrum"
