country,penetration,year
ALB,72.64,2010
ALB,74.05000000000001,2011
ALB,74.7,2012
ALB,74.75,2013
ALB,75.55,2014
ALB,75.62,2015
ALB,76.42,2016
ALB,76.85,2017
ALB,77.29,2018
ALB,77.73,2019
ALB,78.16,2020
ALB,79.33,2021
ALB,80.52,2022
ALB,81.73,2023
ALB,82.96,2024
ALB,84.2,2025
ALB,85.46,2026
ALB,86.75,2027
ALB,88.05,2028
ALB,89.37,2029
ALB,90.71,2030
