"","ISO_3digit","country","gdp_perc"
"54","SYC","seychelles","High Income"
"55","SGP","singapore","High Income"
"56","SXM","sintmaarten(dutchpart)","High Income"
"57","SVN","slovenia","High Income"
"58","ESP","spain","High Income"
"59","SWE","sweden","High Income"
"60","CHE","switzerland","High Income"
"61","TTO","trinidadandtobago","High Income"
"62","TCA","turksandcaicosislands","High Income"
"63","ARE","unitedarabemirates","High Income"
"64","GBR","unitedkingdom","High Income"
"65","USA","unitedstates","High Income"
"66","URY","uruguay","High Income"
"67","VIR","virginislands(u.s.)","High Income"
